Correlations,,,,,,,,,,,,
,,WIP,Throughput,TP_feature,TP_bugs,Bugs,Precent_bugs_finished,Average_Days_Backlog_Bugs,Leadtime,Churn,Churn_FT,Churn_Bugs
WIP,Pearson Correlation,1,.638*,.682**,0.073,0.463,0.191,0.02,-0.183,-0.038,0.018,.801**
,Sig. (2-tailed),,0.014,0.007,0.804,0.096,0.513,0.946,0.53,0.898,0.951,0.001
,N,14,14,14,14,14,14,14,14,14,14,14
Throughput,Pearson Correlation,.638*,1,.995**,0.045,0.269,0.121,-0.169,-.554*,-0.268,-0.23,.592*
,Sig. (2-tailed),0.014,,0,0.878,0.352,0.68,0.564,0.04,0.354,0.428,0.026
,N,14,14,14,14,14,14,14,14,14,14,14
TP_feature,Pearson Correlation,.682**,.995**,1,0.018,0.296,0.153,-0.15,-.544*,-0.224,-0.187,.641*
,Sig. (2-tailed),0.007,0,,0.951,0.304,0.602,0.61,0.044,0.442,0.522,0.014
,N,14,14,14,14,14,14,14,14,14,14,14
TP_b,Pearson Correlation,0.073,0.045,0.018,1,.686**,.664**,0.12,-0.255,-0.15,-0.045,0.097
,Sig. (2-tailed),0.804,0.878,0.951,,0.007,0.01,0.683,0.38,0.608,0.877,0.742
,N,14,14,14,14,14,14,14,14,14,14,14
Bugs,Pearson Correlation,0.463,0.269,0.296,.686**,1,.762**,0.244,-0.217,-0.104,-0.035,0.435
,Sig. (2-tailed),0.096,0.352,0.304,0.007,,0.002,0.401,0.456,0.724,0.906,0.12
,N,14,14,14,14,14,14,14,14,14,14,14
Precent_bugs_finished,Pearson Correlation,0.191,0.121,0.153,.664**,.762**,1,0.086,-0.363,0.039,0.136,0.392
,Sig. (2-tailed),0.513,0.68,0.602,0.01,0.002,,0.769,0.202,0.894,0.643,0.165
,N,14,14,14,14,14,14,14,14,14,14,14
Average_Days_Backlog_B,Pearson Correlation,0.02,-0.169,-0.15,0.12,0.244,0.086,1,0.005,0.53,0.449,0.183
,Sig. (2-tailed),0.946,0.564,0.61,0.683,0.401,0.769,,0.985,0.051,0.107,0.531
,N,14,14,14,14,14,14,14,14,14,14,14
Leadtime,Pearson Correlation,-0.183,-.554*,-.544*,-0.255,-0.217,-0.363,0.005,1,-0.082,-0.196,-.553*
,Sig. (2-tailed),0.53,0.04,0.044,0.38,0.456,0.202,0.985,,0.78,0.503,0.04
,N,14,14,14,14,14,14,14,14,14,14,14
Churn,Pearson Correlation,-0.038,-0.268,-0.224,-0.15,-0.104,0.039,0.53,-0.082,1,.980**,0.184
,Sig. (2-tailed),0.898,0.354,0.442,0.608,0.724,0.894,0.051,0.78,,0,0.53
,N,14,14,14,14,14,14,14,14,14,14,14
Chrn_FT,Pearson Correlation,0.018,-0.23,-0.187,-0.045,-0.035,0.136,0.449,-0.196,.980**,1,0.261
,Sig. (2-tailed),0.951,0.428,0.522,0.877,0.906,0.643,0.107,0.503,0,,0.368
,N,14,14,14,14,14,14,14,14,14,14,14
Chrn_B,Pearson Correlation,.801**,.592*,.641*,0.097,0.435,0.392,0.183,-.553*,0.184,0.261,1
,Sig. (2-tailed),0.001,0.026,0.014,0.742,0.12,0.165,0.531,0.04,0.53,0.368,
,N,14,14,14,14,14,14,14,14,14,14,14
* Correlation is significant at the 0.05 level (2-tailed).,,,,,,,,,,,,
